file_id,neighborhood,date,count,type,x,y
zuubN1KFegx8Wxe09/gGJwvReL5yRk3gVGUCmg==,Golden Hill,2025-01-01,5,2,6286135.560410695,1842683.3351150632
zuubN1KFegx8Wxe09/gGJwvReL5yRk3gVGUCmg==,Golden Hill,2025-01-01,2,2,6285656.260887334,1842715.9241365583
zuubN1KFegx8Wxe09/gGJwvReL5yRk3gVGUCmg==,Golden Hill,2025-01-01,2,1,6285769.3760087285,1842503.6159449029
zuubN1KFegx8Wxe09/gGJwvReL5yRk3gVGUCmg==,Golden Hill,2025-01-01,4,2,6285717.767457229,1842274.50155465
zuubN1KFegx8Wxe09/gGJwvReL5yRk3gVGUCmg==,Golden Hill,2025-01-01,1,1,6285772.509908706,1842009.006667684
zuubN1KFegx8Wxe09/gGJwvReL5yRk3gVGUCmg==,Golden Hill,2025-01-01,1,2,6285750.545084156,1841783.249340107
ZIRws5IWs72qwj6mVV92G/kvSMcMjR+ggQsbGQ==,Golden Hill,2025-02-20,6,2,6285389.026221818,1842576.4012027315
ZIRws5IWs72qwj6mVV92G/kvSMcMjR+ggQsbGQ==,Golden Hill,2025-02-20,7,2,6285700.228608827,1842527.7229234502
ZIRws5IWs72qwj6mVV92G/kvSMcMjR+ggQsbGQ==,Golden Hill,2025-02-20,4,2,6285394.51247872,1842281.0572571836
ZIRws5IWs72qwj6mVV92G/kvSMcMjR+ggQsbGQ==,Golden Hill,2025-02-20,9,2,6285706.378113453,1842113.487472583
ZIRws5IWs72qwj6mVV92G/kvSMcMjR+ggQsbGQ==,Golden Hill,2025-02-20,1,2,6285766.943672102,1842266.3712717595
ZIRws5IWs72qwj6mVV92G/kvSMcMjR+ggQsbGQ==,Golden Hill,2025-02-20,2,1,6285714.428614622,1842734.6931066008
ZIRws5IWs72qwj6mVV92G/kvSMcMjR+ggQsbGQ==,Golden Hill,2025-02-20,5,1,6285418.658034102,1842081.429621991
ZIRws5IWs72qwj6mVV92G/kvSMcMjR+ggQsbGQ==,Golden Hill,2025-02-20,3,1,6285687.996951117,1841967.9134341904
ZIRws5IWs72qwj6mVV92G/kvSMcMjR+ggQsbGQ==,Golden Hill,2025-02-20,6,2,6285761.640856586,1841840.7285528674
ZIRws5IWs72qwj6mVV92G/kvSMcMjR+ggQsbGQ==,Golden Hill,2025-02-20,4,2,6285803.217076034,1841268.954413625
ZIRws5IWs72qwj6mVV92G/kvSMcMjR+ggQsbGQ==,Golden Hill,2025-02-20,4,2,6285420.210761114,1841114.9895272143
ZIRws5IWs72qwj6mVV92G/kvSMcMjR+ggQsbGQ==,Golden Hill,2025-02-20,6,2,6285445.468861065,1840715.9309798733
ZIRws5IWs72qwj6mVV92G/kvSMcMjR+ggQsbGQ==,Golden Hill,2025-02-20,3,2,6285435.321641284,1840470.5759110586
ZIRws5IWs72qwj6mVV92G/kvSMcMjR+ggQsbGQ==,Golden Hill,2025-02-20,8,2,6285692.331039554,1840502.8960590423
ZIRws5IWs72qwj6mVV92G/kvSMcMjR+ggQsbGQ==,Golden Hill,2025-02-20,5,1,6285861.496526559,1840455.4309051987
aSpgRb18YNGzI8DRtHh1aRd8WSEfKr00RmzeVA==,Golden Hill,2025-03-20,5,2,6285438.412656859,1842571.2704382404
aSpgRb18YNGzI8DRtHh1aRd8WSEfKr00RmzeVA==,Golden Hill,2025-03-20,1,2,6285874.364985949,1842561.0288659246
aSpgRb18YNGzI8DRtHh1aRd8WSEfKr00RmzeVA==,Golden Hill,2025-03-20,1,1,6285493.072233885,1842145.894256991
aSpgRb18YNGzI8DRtHh1aRd8WSEfKr00RmzeVA==,Golden Hill,2025-03-20,3,2,6285729.298708961,1841920.965892374
aSpgRb18YNGzI8DRtHh1aRd8WSEfKr00RmzeVA==,Golden Hill,2025-03-20,2,2,6285979.971900137,1841913.5348210752
aSpgRb18YNGzI8DRtHh1aRd8WSEfKr00RmzeVA==,Golden Hill,2025-03-20,1,2,6285736.741601241,1841467.2770833753
aSpgRb18YNGzI8DRtHh1aRd8WSEfKr00RmzeVA==,Golden Hill,2025-03-20,2,2,6285932.891184976,1841536.8738336926
f6LtfVta80FzzCaXhNZC9iqKiwt4iOgJKTFI2w==,Golden Hill,2025-04-24,15,2,6285403.153647941,1842560.0946814094
f6LtfVta80FzzCaXhNZC9iqKiwt4iOgJKTFI2w==,Golden Hill,2025-04-24,4,2,6285755.719662177,1842404.2053773499
f6LtfVta80FzzCaXhNZC9iqKiwt4iOgJKTFI2w==,Golden Hill,2025-04-24,8,2,6285731.231213372,1842143.3362008636
f6LtfVta80FzzCaXhNZC9iqKiwt4iOgJKTFI2w==,Golden Hill,2025-04-24,4,2,6285433.215588696,1842266.6023550562
f6LtfVta80FzzCaXhNZC9iqKiwt4iOgJKTFI2w==,Golden Hill,2025-04-24,6,2,6285758.502858041,1841610.7088476007
f6LtfVta80FzzCaXhNZC9iqKiwt4iOgJKTFI2w==,Golden Hill,2025-04-24,5,2,6285788.602924767,1841306.3467057717
f6LtfVta80FzzCaXhNZC9iqKiwt4iOgJKTFI2w==,Golden Hill,2025-04-24,2,1,6285789.263774926,1841117.9365708542
