url,neighborhood,source,dest,matrix
"https://lh3.googleusercontent.com/d/1-GtsKyWZEbefTTl_uJlqnQkYWPUzwp2Z
",Columbia,"POLYGON ((851.5 1737.5, 855 1304.5, 1280 1307.5, 1278 1740, 851.5 1737.5))","POLYGON ((6278946 1841436.99999983, 6278953.17300012 1842563.14399985, 6279780 1842558.99999987, 6279769 1841430.99999986, 6278946 1841436.99999983))","[[1.9373405235553534, -0.02872787349417437, 0.0], [0.03330770739012223, 2.604256628065741, 0.0], [6277245.889263321, 1838063.5083198308, 1.0000000000000002]]"
"https://lh3.googleusercontent.com/d/1-nmbVB2E33-9mwqszD2sC_LST6JvXYtI
",gaslamp,"POLYGON ((993.5 1945, 986.5 1149, 1376.5 1147, 1382 1946.5, 993.5 1945))","POLYGON ((6281435 1838724.99999984, 6281433.0009999 1841407.99999986, 6281993.00000013 1841406.99999985, 6281990 1838723.99999983, 6281435 1838724.99999984))","[[1.432215302465714, -0.00037932683156452084, 0.0], [-0.010583475896055461, 3.363195816640655, 0.0], [6280032.483511611, 1834864.00583103, 0.9999999999999998]]"
"https://lh3.googleusercontent.com/d/10yNBr47tUjYL9oovEDclJzAqEtRfAB1N
",Barrio Logan,"POLYGON ((506 1526.5, 1056 1082, 1244 1317, 561.5 1872.5, 506 1526.5))","POLYGON ((6284815.309510723 1836171.631447062, 6284995.965973556 1837498.1724291444, 6287564.770219132 1835343.8962258995, 6286846.508204222 1834458.5886133164, 6284815.309510723 1836171.631447062))","[[3.724544823217859, -0.03727067242576983, 0.0], [-0.014112103312072577, 3.822681186058162, 0.0], [6282940.492797612, 1830358.4730470136, 1.0000000000000004]]"
"https://lh3.googleusercontent.com/d/118TgSUaYDYEKaYnaIb5_9nNUahbv91XJ
",Columbia,"POLYGON ((892.5 1763.5, 892 1354.5, 1293 1356.5, 1293 1763, 892.5 1763.5))","POLYGON ((6278946 1841436.99999983, 6278953.17300012 1842563.14399985, 6279780 1842558.99999987, 6279769 1841430.99999986, 6278946 1841436.99999983))","[[2.058381086936126, -0.01783605854445837, 0.0], [0.02100400610061115, 2.7641031042512623, 0.0], [6277080.2514929045, 1837706.7508451284, 1.0000000000000004]]"
"https://lh3.googleusercontent.com/d/12HYuJiD7hCqwfAny4oHpLzkTuWP6uM98
",gaslamp,"POLYGON ((975.5 1886, 976.5 1168, 1329.5 1171, 1323.5 1889, 975.5 1886))","POLYGON ((6281435 1838724.99999984, 6281433.0009999 1841407.99999986, 6281993.00000013 1841406.99999985, 6281990 1838723.99999983, 6281435 1838724.99999984))","[[1.5903793587211241, -0.03483359732469065, 0.0], [0.008449889453913784, 3.736598996935527, 0.0], [6279868.910357255, 1834394.7106119508, 0.9999999999999998]]"
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",east_village_south,"POLYGON ((284 1733, 272 1115.5, 1269.5 1103, 1279.5 1716.5, 284 1733))","POLYGON ((6282272.21743156 1837990.84746804, 6282272 1839874.99999986, 6284995.00099991 1839861.99999983, 6284987 1837946.99999986, 6282272.21743156 1837990.84746804))","[[2.727816890371644, 0.016357079002385543, 0.0], [-0.04246351866549958, 3.0858255410212223, 0.0], [6281574.257552665, 1834533.399892694, 0.9999999999999999]]"
"https://lh3.googleusercontent.com/d/1634beOMnc5xx4TyOaEi2Km2gWYrs5qOw
",east_village,"POLYGON ((284.5 1448, 286.5 1039.5, 1241.5 1039, 1240 1456.5, 284.5 1448))","POLYGON ((6282272 1839874.99999986, 6282274 1841025.99999984, 6284997.99899991 1841020.99999985, 6284995.00099991 1839861.99999983, 6282272 1839874.99999986))","[[2.851010125415496, -0.021133309230776387, 0.0], [0.01812360986332351, 2.796294369898078, 0.0], [6281436.495411007, 1836978.6436451506, 0.9999999999999999]]"
"https://lh3.googleusercontent.com/d/18Mo8vM17ThuBN32Kwz-gvgE9vnsGa3Ox
",sherman_heights,"POLYGON ((233.5 1834.5, 232 1149, 697 1153, 695.5 1836, 233.5 1834.5))","POLYGON ((6285842.880290225 1838320.4808238894, 6285858.862213641 1840242.7000765651, 6287154.647679806 1840266.7971412241, 6287147.123088554 1838309.2908856422, 6285842.880290225 1838320.4808238894))","[[2.804675074519978, -0.0030445323397178567, 0.0], [0.01717684680443199, 2.8349643153080706, 0.0], [6285172.459566573, 1835053.2753238117, 0.9999999999999999]]"
"https://lh3.googleusercontent.com/d/19QxAKljkAaNb03vMPy2oQbkZi9UodHPl
",east_village_south,"POLYGON ((331 1686, 334 1132.5, 1240.5 1135, 1237.5 1688.5, 331 1686))","POLYGON ((6282272.21743156 1837990.84746804, 6282272 1839874.99999986, 6284995.00099991 1839861.99999983, 6284987 1837946.99999986, 6282272.21743156 1837990.84746804))","[[2.9992648270211477, -0.04081965756567803, 0.0], [0.023287404959773994, 3.4317141949770757, 0.0], [6281242.035385343, 1834110.3530408149, 1.0000000000000002]]"
"https://lh3.googleusercontent.com/d/1A3yT8sS8V4T7AATgGesDj3KUO0H0xG61
",cortez,"POLYGON ((545 1565.5, 544.5 1295.5, 1285.5 1296, 1285 1567, 545 1565.5))","POLYGON ((6280594 1842941.99999986, 6280598.99400006 1843695.21999986, 6282840 1843687.99999984, 6282836.99999987 1842925.99999983, 6280594 1842941.99999986))","[[3.0276676247058196, -0.019463617583948278, 0.0], [0.014779826383346517, 2.8007967302023644, 0.0], [6278926.032691823, 1839322.6740890178, 1.0000000000000002]]"
