image_url,cx,cy,r,type,count
https://lh3.googleusercontent.com/d/16RCG99ggyCCcaoZxS6Wxk7Lk_sQZ4Wj-,1412,978,23.0,3,
https://lh3.googleusercontent.com/d/16RCG99ggyCCcaoZxS6Wxk7Lk_sQZ4Wj-,1406,927,20.0,1,
https://lh3.googleusercontent.com/d/16RCG99ggyCCcaoZxS6Wxk7Lk_sQZ4Wj-,1401,710,25.0,2,2
https://lh3.googleusercontent.com/d/16RCG99ggyCCcaoZxS6Wxk7Lk_sQZ4Wj-,1404,664,18.888,1,9
https://lh3.googleusercontent.com/d/16RCG99ggyCCcaoZxS6Wxk7Lk_sQZ4Wj-,1396,598,19.0,2,6
https://lh3.googleusercontent.com/d/16RCG99ggyCCcaoZxS6Wxk7Lk_sQZ4Wj-,1412,566,14.0,1,3
https://lh3.googleusercontent.com/d/16RCG99ggyCCcaoZxS6Wxk7Lk_sQZ4Wj-,1408,534,19.0,2,4
https://lh3.googleusercontent.com/d/16RCG99ggyCCcaoZxS6Wxk7Lk_sQZ4Wj-,1406,424,13.0,1,
https://lh3.googleusercontent.com/d/16RCG99ggyCCcaoZxS6Wxk7Lk_sQZ4Wj-,1403,328,17.0,1,3
https://lh3.googleusercontent.com/d/16RCG99ggyCCcaoZxS6Wxk7Lk_sQZ4Wj-,1330,981,18.0,3,
https://lh3.googleusercontent.com/d/16RCG99ggyCCcaoZxS6Wxk7Lk_sQZ4Wj-,1327,906,15.0,1,
https://lh3.googleusercontent.com/d/16RCG99ggyCCcaoZxS6Wxk7Lk_sQZ4Wj-,1328,853,17.0,2,
https://lh3.googleusercontent.com/d/16RCG99ggyCCcaoZxS6Wxk7Lk_sQZ4Wj-,1305,856,17.0,1,3
https://lh3.googleusercontent.com/d/16RCG99ggyCCcaoZxS6Wxk7Lk_sQZ4Wj-,1350,782,24.0,2,16
https://lh3.googleusercontent.com/d/16RCG99ggyCCcaoZxS6Wxk7Lk_sQZ4Wj-,1353,701,28.0,1,27
